k,steps,jahr,module,Q,top1,top2,rosenbluth
25,5,2023,49,0.7605963827135486,0.16756869275603664,0.2853871773522065,0.051893993950741756
25,5,2024,65,0.7519200431638179,0.14099361643075214,0.21183735775742438,0.03706046626448398
25,6,2016,44,0.6824647765384709,0.27338329170136,0.3831529281154593,0.0669416420489382
25,6,2017,26,0.7028229575915071,0.2942686650013877,0.414029975020816,0.11128785655819987
25,6,2018,35,0.7421499930948259,0.1682625589786289,0.32167638079378297,0.07657241225413625
25,6,2019,58,0.74589557774831206,0.1257285595337219,0.20330280321953928,0.03959079621123882
25,6,2020,39,0.7723839641072778,0.1176797113516514,0.22821260061060228,0.06463070092829275
25,6,2021,42,0.7625994369714872,0.19122953094643352,0.34256175409381073,0.06684105075690117
25,6,2022,40,0.7683885528211012,0.17436858173744102,0.28011379406050513,0.06775549349806775
25,6,2023,39,0.7621201184937835,0.17957257840688315,0.282195392728282,0.06417312316323805
25,6,2024,52,0.7549843003657949,0.15979739106300306,0.2907299472661671,0.04548208740437779
25,7,2016,42,0.6733123859504531,0.27248126561199,0.4267277268942548,0.07171505060658234
25,7,2017,49,0.7006381039668718,0.20469053566472384,0.2926727726894255,0.051575315993644344
25,7,2018,39,0.7304336348177632,0.20184568415209547,0.2966278101582015,0.06791769950706415
25,7,2019,47,0.7524040832660358,0.14210380238689982,0.22585345545378852,0.04873001704130488
25,7,2020,42,0.7619069161949261,0.1750624479600333,0.28386067166250345,0.06113877976973266
25,7,2021,46,0.7663050527912503,0.1432833749653067,0.23605328892589508,0.05485980525758833
25,7,2022,42,0.766894660337613,0.15056897030252567,0.2810158201498751,0.059936121369398146
25,7,2023,43,0.7626758968726474,0.11282264779350541,0.22051068553982792,0.0534173461823573
25,7,2024,47,0.7568944632341961,0.16999722453510963,0.2829586455731335,0.05360570127802657
25,8,2016,53,0.6769408098314545,0.1874826533444352,0.2716486261448793,0.048795021634761876
25,8,2017,42,0.7086379095094382,0.24014709963918957,0.35109630863169583,0.06603799521623181
25,8,2018,44,0.7357801925238794,0.1729114626699972,0.2734526783236192,0.058188924239732556
25,8,2019,36,0.7569909759934002,0.1813766305856231,0.3220233139050791,0.0730550092256534
25,8,2020,47,0.7655296862726244,0.12663058562309187,0.24576741604218708,0.05142918317096671
25,8,2021,37,0.7671440886262708,0.1618096031085207,0.2992645018040522,0.07138823669272149
25,8,2022,41,0.7711232405843329,0.14959755759089646,0.27546489036913685,0.06075782870440634
25,8,2023,43,0.7584439347271528,0.16618096031085205,0.2908687205106855,0.05713198392122351
25,8,2024,43,0.7590928347730395,0.18519289480988066,0.28941160144324174,0.05807356307017826
50,3,2016,56,0.5641647235315027,0.19490702192617262,0.3383291701359978,0.04279707321708558
50,3,2017,25,0.6354237576948153,0.2839300582847627,0.3884956980294199,0.10136304173524074
50,3,2018,23,0.66107648123824,0.25763252844851514,0.40077713016930333,0.11418701570348772
50,3,2019,36,0.6693592761802336,0.23917568692756036,0.335970024979184,0.0687070938215103
50,3,2020,27,0.6830115733511218,0.2766444629475437,0.38634471273938387,0.09559564871318652
50,3,2021,35,0.6806137004715306,0.24084096586178186,0.36018595614765475,0.07063182450843936
50,3,2022,33,0.7007706851353518,0.1960172078823203,0.31099084096586177,0.0684395479152816
50,3,2023,35,0.6778073061225557,0.24542048293089092,0.3268109908409659,0.06752881641833006
50,3,2024,42,0.6725147872498684,0.16978906466833193,0.304676658340272,0.05386093027079954
50,4,2016,20,0.5949151087360796,0.30162364696086597,0.5942964196502915,0.1484426499670402
50,4,2017,25,0.6259755350910254,0.3246600055509298,0.42950319178462393,0.1048618286063534
50,4,2018,34,0.6513063623549382,0.2019150707743547,0.31217041354426867,0.06929046030173948
50,4,2019,40,0.6724661262832894,0.2073272273105745,0.3073827366083819,0.057659531906381276
50,4,2020,36,0.6916023167767882,0.10921454343602553,0.21815154038301415,0.05785767621861626
50,4,2021,26,0.7043539221866263,0.2216902581182348,0.3321537607549265,0.09247234555860688
50,4,2022,29,0.7041776871031896,0.19393560921454345,0.3215376075492645,0.07761322634498358
50,4,2023,27,0.7040377365429891,0.17416042187066333,0.2862892034415765,0.08414783674899282
50,4,2024,26,0.6878201834510999,0.245142936441854,0.3793366638912018,0.09928765311324525
50,5,2016,36,0.587988425279474,0.2407715792395226,0.3930058284762698,0.07020654715510521
50,5,2017,40,0.622347789532577,0.13467943380516237,0.23098806550097142,0.050975509684356476
50,5,2018,21,0.6530223604605693,0.2989869553150153,0.4851512628365251,0.12710339718488728
50,5,2019,23,0.6790268001554872,0.26304468498473493,0.3637246738828754,0.10590828924162257
50,5,2020,27,0.6883958366413692,0.24222869830696642,0.3442270330280322,0.08933906941568827
50,5,2021,27,0.7018944804753524,0.1813766305856231,0.31772134332500696,0.0862952672925848
50,5,2022,26,0.713877462545975,0.21225367749097973,0.3347210657785179,0.09010879079654871
50,5,2023,27,0.7084517893974206,0.15494032750485706,0.26956702747710243,0.08498142579161506
50,5,2024,37,0.6793821870741699,0.20392728281987232,0.3151540383014155,0.05841202934381713
50,6,2016,32,0.5767036046626965,0.34610047182903136,0.4401887316125451,0.0809408276047985
50,6,2017,33,0.6224436387815926,0.22814321398834306,0.34852900360810435,0.07244176811798177
50,6,2018,27,0.6598560476617495,0.17686650013877325,0.3202192617263392,0.078634642455723
50,6,2019,26,0.6786033121436879,0.2692894809880655,0.3722592284207605,0.09365617811050025
50,6,2020,25,0.7040514405040575,0.2036497363308354,0.3116847071884541,0.09086553011197418
